,SIM1,SIM2,SIM3
2005-01-03,2.691668639488419e+43,2.623897372118286e+43,2.731515022263571e+43
2005-01-04,2.6737440555482654e+43,2.585345654841391e+43,2.754201227194513e+43
2005-01-05,2.6870459285755856e+43,2.608059909466458e+43,2.7369830787638203e+43
2005-01-06,2.731240504158427e+43,2.5815085043501475e+43,2.6461553048786673e+43
2005-01-07,2.7623431539460227e+43,2.5241968608140297e+43,2.6326192775877965e+43
2005-01-10,2.736948787876278e+43,2.5085904726374383e+43,2.6480407765079367e+43
2005-01-11,2.695113040518984e+43,2.507709935616847e+43,2.7123094718985686e+43
2005-01-12,2.676177234067816e+43,2.5285445005140633e+43,2.7547857630110383e+43
2005-01-13,2.6787149967004883e+43,2.480907011186072e+43,2.699210631757879e+43
2005-01-14,2.601661835220489e+43,2.4738690758828786e+43,2.73081871049033e+43
2005-01-17,2.598138045427464e+43,2.5058916441975657e+43,2.763943205681704e+43
2005-01-18,2.558168235527039e+43,2.540901483163913e+43,2.702717064010045e+43
2005-01-19,2.5367234120216325e+43,2.599885680561653e+43,2.691826834003645e+43
2005-01-20,2.520634508414333e+43,2.627239783422807e+43,2.6684377391884283e+43
2005-01-21,2.5116178132919747e+43,2.632789203235951e+43,2.64831631681618e+43
2005-01-24,2.5253600914424123e+43,2.7499758807072296e+43,2.6833927738984143e+43
2005-01-25,2.558405761020152e+43,2.7461320438459306e+43,2.737210465001773e+43
2005-01-26,2.553116781774324e+43,2.8396177861071966e+43,2.6978048964015564e+43
2005-01-27,2.5979506805027728e+43,2.808682845814637e+43,2.6702475240427684e+43
2005-01-28,2.574629432177261e+43,2.8757799874242776e+43,2.617421910123599e+43
2005-01-31,2.5873748165370686e+43,2.791190478459421e+43,2.5393110365074667e+43
2005-02-01,2.616708195339174e+43,2.834674054695026e+43,2.564849467660623e+43
2005-02-02,2.6188217111623903e+43,2.796774849709384e+43,2.561525737391114e+43
2005-02-03,2.594644732465e+43,2.778822655534707e+43,2.4614397849191286e+43
2005-02-04,2.56606511919536e+43,2.7640299233491756e+43,2.484661237497759e+43
2005-02-07,2.5528662325860164e+43,2.729897718798479e+43,2.4237372867117667e+43
2005-02-08,2.5608335998802956e+43,2.580502234143287e+43,2.4708038583934234e+43
2005-02-09,2.5284519201349243e+43,2.686548120128213e+43,2.423460425114149e+43
2005-02-10,2.52351056457848e+43,2.664516239792451e+43,2.439883416361377e+43
2005-02-11,2.518972842555831e+43,2.590396561168328e+43,2.425174351324342e+43
2005-02-14,2.53667941860427e+43,2.655443293318267e+43,2.378045812763303e+43
2005-02-15,2.543062306856472e+43,2.7464014420254673e+43,2.363125484287426e+43
2005-02-16,2.554483661396192e+43,2.74172935920217e+43,2.3837066510879796e+43
2005-02-17,2.5333505329439423e+43,2.729847530355655e+43,2.371428132369738e+43
2005-02-18,2.5304424631325934e+43,2.6621873429450223e+43,2.320439542641468e+43
2005-02-21,2.5559665076576267e+43,2.683992577043255e+43,2.326926415721302e+43
2005-02-22,2.6036275057755513e+43,2.628954482222153e+43,2.3219587663604425e+43
2005-02-23,2.5609207602133616e+43,2.7339820275924094e+43,2.2902123854919012e+43
2005-02-24,2.612389839725618e+43,2.723927476134735e+43,2.308789095185921e+43
2005-02-25,2.655016821142438e+43,2.7535103431163363e+43,2.2841886972671504e+43
2005-02-28,2.679669721111421e+43,2.7043443682786434e+43,2.255439006049533e+43
2005-03-01,2.6878328689611496e+43,2.672128840841574e+43,2.2765465592281493e+43
2005-03-02,2.6771938750619675e+43,2.6931363205446033e+43,2.32027763868107e+43
2005-03-03,2.727574592217337e+43,2.6341611060774566e+43,2.376825834379968e+43
2005-03-04,2.793754013479692e+43,2.6802260561426425e+43,2.397827667049858e+43
2005-03-07,2.855164378911125e+43,2.6360263068515615e+43,2.385017283985472e+43
2005-03-08,2.9003944946408875e+43,2.6526939179649305e+43,2.375623411938471e+43
2005-03-09,2.911807716871017e+43,2.603184462474076e+43,2.4079467962723214e+43
2005-03-10,2.8677048271090745e+43,2.651847685948343e+43,2.366340954550713e+43
2005-03-11,2.869803960884704e+43,2.574154156213246e+43,2.398647033244292e+43
2005-03-14,2.8938643438599906e+43,2.570742702975665e+43,2.391592118404929e+43
2005-03-15,2.8466113743747885e+43,2.5645057326728475e+43,2.423443505595094e+43
2005-03-16,2.863208697941278e+43,2.466578925229036e+43,2.460211675714079e+43
2005-03-17,2.8783490233305726e+43,2.4274368695110927e+43,2.4599372143327116e+43
2005-03-18,2.903348497101593e+43,2.433654362440557e+43,2.496016454669424e+43
2005-03-21,2.859652779082504e+43,2.379649340459471e+43,2.493295001266728e+43
2005-03-22,2.8381580857060475e+43,2.3660059027326025e+43,2.474338816323429e+43
2005-03-23,2.8238790774884035e+43,2.238246779374639e+43,2.5601328875503817e+43
2005-03-24,2.7835514303578616e+43,2.2417068874990875e+43,2.6528600701920275e+43
2005-03-25,2.8472944052993766e+43,2.1982660767934057e+43,2.6195171726427868e+43
2005-03-28,2.827104520944944e+43,2.1461375420301103e+43,2.6116172313014117e+43
2005-03-29,2.84005704443104e+43,2.1115664748252195e+43,2.6905901688846173e+43
2005-03-30,2.830597068690924e+43,2.094200979094328e+43,2.7135737369715647e+43
2005-03-31,2.888342037741397e+43,2.0703594797192028e+43,2.697042940787959e+43
2005-04-01,2.9344911238799724e+43,2.0834090538721967e+43,2.651667750414747e+43
2005-04-04,2.956271964194635e+43,2.1211025028001394e+43,2.666885676007513e+43
2005-04-05,2.874816902905386e+43,2.1397765557449224e+43,2.6923226810819087e+43
2005-04-06,2.880568308290552e+43,2.1288754636957684e+43,2.719933890794191e+43
2005-04-07,2.905552517748104e+43,2.1822217380695744e+43,2.712322935099848e+43
2005-04-08,2.941735058428267e+43,2.139604830786734e+43,2.721346755234343e+43
2005-04-11,2.9177071879896195e+43,2.1209803605856078e+43,2.7138575880949655e+43
2005-04-12,2.986818465703872e+43,1.9954491574017988e+43,2.674559601241913e+43
2005-04-13,2.934922814475837e+43,1.9951619363722084e+43,2.667411008212279e+43
2005-04-14,2.913170629695847e+43,1.9739816252525654e+43,2.6653394410408775e+43
2005-04-15,2.948969111509307e+43,2.0200463577473038e+43,2.692281942978179e+43
2005-04-18,2.9495598064840854e+43,1.9998339502478503e+43,2.6362517228594423e+43
2005-04-19,3.025173668246749e+43,1.974943163312607e+43,2.557592563120896e+43
2005-04-20,3.029354917941476e+43,2.069494996918755e+43,2.536877830137987e+43
2005-04-21,3.005482108646325e+43,2.0862745846084238e+43,2.5267504751293483e+43
2005-04-22,2.9926260386054105e+43,2.0526712207397473e+43,2.5188913174882166e+43
2005-04-25,2.952712303253285e+43,1.987818651686253e+43,2.613652206419296e+43
2005-04-26,2.9076643347868414e+43,1.9343927117266401e+43,2.678606556692554e+43
2005-04-27,2.933151415914584e+43,1.979270649960883e+43,2.6412326332641737e+43
2005-04-28,2.953904748038057e+43,1.979207717604191e+43,2.6226669890633777e+43
2005-04-29,3.0018567907990674e+43,1.9999225775383552e+43,2.597625463955436e+43
2005-05-02,2.971733858168335e+43,2.012968318589023e+43,2.711922019078947e+43
2005-05-03,3.037291242404669e+43,1.9853307289408393e+43,2.691605651512862e+43
2005-05-04,3.0237883787350616e+43,1.9616138787173056e+43,2.715373972362798e+43
2005-05-05,3.0852739180670524e+43,1.9929660779311245e+43,2.721480287876827e+43
2005-05-06,3.066169126619089e+43,1.9810745685765735e+43,2.6591635424996083e+43
2005-05-09,3.039104054082104e+43,1.9664947979938505e+43,2.6946972779561933e+43
2005-05-10,3.050220684163773e+43,1.9550015380070217e+43,2.727257813906038e+43
2005-05-11,3.0899489184633674e+43,1.9575095361046075e+43,2.7517374766461734e+43
2005-05-12,3.0948271911764205e+43,2.0113085942548833e+43,2.7739540367122115e+43
2005-05-13,3.072254588306234e+43,2.0258224216764426e+43,2.677617983255426e+43
2005-05-16,3.022154843509525e+43,2.0632285640218246e+43,2.7229834554979886e+43
2005-05-17,2.971805121256467e+43,2.0188261478718875e+43,2.6767628863757395e+43
2005-05-18,2.993226070648564e+43,1.9789603902630464e+43,2.763004239084654e+43
2005-05-19,3.0301501424376467e+43,2.0299875986923356e+43,2.7414365580867586e+43
2005-05-20,3.0226233406491154e+43,2.0483138588680307e+43,2.7252925729040176e+43
2005-05-23,2.9827040858011176e+43,2.0606089313120266e+43,2.7192558106398853e+43
2005-05-24,3.0177763330929384e+43,2.051954707989364e+43,2.6851691118664296e+43
2005-05-25,2.96836281379473e+43,2.118494427669664e+43,2.6237876543073664e+43
2005-05-26,2.944320657827952e+43,2.1337345954608433e+43,2.6394439751191023e+43
2005-05-27,2.9688349346726663e+43,2.1165366724961123e+43,2.5824799798130277e+43
2005-05-30,2.885226324678115e+43,2.099457820130634e+43,2.621706511976338e+43
2005-05-31,2.9032696355198096e+43,2.0874740729326045e+43,2.5775930893342e+43
2005-06-01,2.8816466923028433e+43,2.125431832958143e+43,2.6081675247297396e+43
2005-06-02,2.886901127039673e+43,2.1529213747030893e+43,2.6147021019228105e+43
2005-06-03,2.884263076081549e+43,2.1770391919832852e+43,2.684443027717011e+43
2005-06-06,2.8920682244225007e+43,2.262999730445597e+43,2.75239722846495e+43
2005-06-07,2.917447148551013e+43,2.2837215762237204e+43,2.8225229924598274e+43
2005-06-08,2.8889674937383693e+43,2.287590220816691e+43,2.751849786733151e+43
2005-06-09,2.942715694440971e+43,2.3203504291575066e+43,2.796867958767913e+43
2005-06-10,2.9676839653639887e+43,2.3488488910089206e+43,2.8231926775307573e+43
2005-06-13,2.9986114559600245e+43,2.2704558425892453e+43,2.932968457184156e+43
2005-06-14,3.0418764321691894e+43,2.2242300733966387e+43,2.9383674900243347e+43
2005-06-15,3.070614531429153e+43,2.259687287805433e+43,2.969730736071706e+43
2005-06-16,3.10249839401957e+43,2.299842194972148e+43,2.951429038320247e+43
2005-06-17,3.1044129732841814e+43,2.287936647454461e+43,2.948743727864027e+43
2005-06-20,3.0494405757546444e+43,2.2675415923997777e+43,2.9650313392750127e+43
2005-06-21,3.047008912276526e+43,2.207855679369378e+43,3.0111445822217413e+43
2005-06-22,3.0181030059322495e+43,2.2149138285186939e+43,2.9449495661811915e+43
2005-06-23,2.9661292623229883e+43,2.2296668234254528e+43,3.001002949679027e+43
2005-06-24,2.9784143488224374e+43,2.260105399902176e+43,2.923714417363051e+43
2005-06-27,2.956991324654456e+43,2.2417483147629234e+43,2.9923157386911045e+43
2005-06-28,2.920181742639033e+43,2.2159320713172836e+43,3.0155573682483155e+43
2005-06-29,2.88402263732191e+43,2.2611526193824466e+43,3.0988958567178513e+43
2005-06-30,2.89570718255848e+43,2.255447629435343e+43,2.946516941236217e+43
2005-07-01,2.908637924113684e+43,2.260539243617783e+43,3.030541257292766e+43
2005-07-04,2.9572297541447943e+43,2.186634088438251e+43,3.027840688336371e+43
2005-07-05,2.9549144746900627e+43,2.165884213563903e+43,3.0565517430340463e+43
2005-07-06,2.9943749782142355e+43,2.2246686479794431e+43,3.052924756676039e+43
2005-07-07,3.046281520942855e+43,2.2855027623116443e+43,3.089884704511839e+43
2005-07-08,3.08873891103477e+43,2.2731476051819297e+43,3.069379877256139e+43
2005-07-11,2.996676307209063e+43,2.2950789748663443e+43,3.0096690526965383e+43
2005-07-12,3.0477813903517655e+43,2.297940943517867e+43,3.0301068849625617e+43
2005-07-13,3.0589306730378354e+43,2.3972568568529085e+43,2.985782122559506e+43
2005-07-14,3.075161729983987e+43,2.274733070939197e+43,2.933785055183072e+43
2005-07-15,3.0892128077895463e+43,2.2718890160187427e+43,2.8788687839722627e+43
2005-07-18,3.1038782795585317e+43,2.1250961863540897e+43,2.9561447643848437e+43
2005-07-19,3.1161037991905234e+43,2.158622391985547e+43,2.9238549548338034e+43
2005-07-20,3.101891574005187e+43,2.228456989201859e+43,3.01259355735266e+43
2005-07-21,3.0294963027641155e+43,2.2228395717913707e+43,2.9948357939178643e+43
2005-07-22,3.028839831718091e+43,2.2296098557751624e+43,2.94650629149368e+43
2005-07-25,2.998738101534022e+43,2.252749860797847e+43,2.9145236701638074e+43
2005-07-26,3.041477466982738e+43,2.308142928937372e+43,2.856648767285036e+43
2005-07-27,3.028921905539505e+43,2.2093797966483815e+43,2.801453797479092e+43
2005-07-28,3.033015354548351e+43,2.194363378309714e+43,2.7800229798359567e+43
2005-07-29,3.0009325398747596e+43,2.208423519473705e+43,2.6451772602030774e+43
2005-08-01,2.9834520451536373e+43,2.1909124561283053e+43,2.711656287795486e+43
2005-08-02,2.9841368815301736e+43,2.1615538682430882e+43,2.687321291891701e+43
2005-08-03,2.92918281341886e+43,2.1222966760322806e+43,2.743317728449497e+43
2005-08-04,2.9430357421601785e+43,2.109900809867188e+43,2.6677088506499174e+43
2005-08-05,2.9388493314626143e+43,2.120037060441648e+43,2.642551162950033e+43
2005-08-08,2.8958396817202655e+43,2.1706003065126867e+43,2.572509304339599e+43
2005-08-09,2.8118850046042387e+43,2.174469893383861e+43,2.5717220634745244e+43
2005-08-10,2.8340908869445873e+43,2.1343521608415646e+43,2.575593261389267e+43
2005-08-11,2.8228562489671616e+43,2.1400595382657406e+43,2.653398239807265e+43
2005-08-12,2.8049087592578727e+43,2.186625137250838e+43,2.6754123801622216e+43
2005-08-15,2.7976978175783113e+43,2.1620700712594768e+43,2.7345570314830944e+43
2005-08-16,2.8630602889542004e+43,2.1582935999263283e+43,2.748738765268667e+43
2005-08-17,2.858708582066338e+43,2.1924511788733635e+43,2.8597157849467637e+43
2005-08-18,2.8623569331479226e+43,2.1646364914523806e+43,2.8179780628267753e+43
2005-08-19,2.8094565933648905e+43,2.1580538776737889e+43,2.916052763662096e+43
2005-08-22,2.871003595761714e+43,2.1590259376907276e+43,2.9195110248020006e+43
2005-08-23,2.901934666084577e+43,2.1813574122948464e+43,2.9604674820483386e+43
2005-08-24,2.9401336057714387e+43,2.0959447998369572e+43,2.9620260294669164e+43
2005-08-25,2.940559992709711e+43,2.1068390428819928e+43,3.031245915150757e+43
2005-08-26,2.9750163016195474e+43,2.0887319288910904e+43,3.0047349944263504e+43
2005-08-29,2.9877661434988756e+43,2.0849100425217567e+43,3.009856575394744e+43
2005-08-30,3.01070649245345e+43,2.1276092663714243e+43,3.119520584794304e+43
2005-08-31,3.004292985162636e+43,2.1510029974317508e+43,3.169902489818061e+43
2005-09-01,2.949699661057351e+43,2.251369627666151e+43,3.196023522023821e+43
2005-09-02,2.9909037994430255e+43,2.2739859708237727e+43,3.200310900785086e+43
2005-09-05,2.917513221616174e+43,2.1848018635806624e+43,3.133814038549249e+43
2005-09-06,2.912231637869153e+43,2.158323422006374e+43,3.1843779871924693e+43
2005-09-07,2.9053196490946347e+43,2.175049629234988e+43,3.247017025302579e+43
2005-09-08,2.868072724149683e+43,2.1790517912366282e+43,3.3153775860272975e+43
2005-09-09,2.8922698567946426e+43,2.235457677356078e+43,3.3225676735508066e+43
2005-09-12,2.884265387798285e+43,2.1522125761791794e+43,3.3819374667299974e+43
2005-09-13,2.8691380808234827e+43,2.1714586903486442e+43,3.386368072578917e+43
2005-09-14,2.888980515255336e+43,2.1768266815576876e+43,3.3557333818390417e+43
2005-09-15,2.8711754592728475e+43,2.1861173502703516e+43,3.397057226196631e+43
2005-09-16,2.9229498486819945e+43,2.1773394826826992e+43,3.4066853982410457e+43
2005-09-19,2.933955769240269e+43,2.1657017036306155e+43,3.420983467697859e+43
2005-09-20,2.916356716570824e+43,2.103138310488142e+43,3.519092277548622e+43
2005-09-21,2.84694422657131e+43,2.1822147412349071e+43,3.5445131301059085e+43
2005-09-22,2.8037595765887573e+43,2.1386556089369479e+43,3.626845504681795e+43
2005-09-23,2.8446193712216907e+43,2.1827029292501212e+43,3.7061853254701774e+43
2005-09-26,2.841341636340125e+43,2.172685155630445e+43,3.634160980403594e+43
2005-09-27,2.8317131188015507e+43,2.1652264329473082e+43,3.6838959644381134e+43
2005-09-28,2.8916630677841714e+43,2.2492887982967047e+43,3.68818513837799e+43
2005-09-29,2.843079037153687e+43,2.239493127751479e+43,3.722097964442008e+43
2005-09-30,2.824631388828917e+43,2.2923147907397426e+43,3.673285429406957e+43
2005-10-03,2.809014383337895e+43,2.2863008792416085e+43,3.7105432358616425e+43
2005-10-04,2.8308446930604997e+43,2.3136304980032424e+43,3.8070291697642665e+43
2005-10-05,2.806680951896703e+43,2.2947615950194986e+43,3.7745469073407083e+43
2005-10-06,2.7864721754409484e+43,2.2475130215420075e+43,3.809470371822497e+43
2005-10-07,2.731931078388266e+43,2.2149773838520668e+43,3.859670442170535e+43
2005-10-10,2.759843425416302e+43,2.251563277409762e+43,3.8288006730134574e+43
2005-10-11,2.787075991981285e+43,2.272284645512925e+43,3.8749326599097924e+43
2005-10-12,2.769550505159543e+43,2.2880149035956896e+43,3.92141318621694e+43
2005-10-13,2.776346911672005e+43,2.2784719437171077e+43,3.9067169414646e+43
2005-10-14,2.731572010342417e+43,2.288872797928568e+43,3.8713186919708083e+43
2005-10-17,2.717657634054213e+43,2.3306976883965016e+43,3.930208577368326e+43
2005-10-18,2.766149252307652e+43,2.33916409544926e+43,3.881769256764984e+43
